Date,Unit Net Value,Cumulative Net Value,Daily Growth
5/14/2020,2.004,2.004,0.96%
5/13/2020,1.985,1.985,-0.25%
5/12/2020,1.99,1.99,-0.40%
5/11/2020,1.998,1.998,0.65%
5/8/2020,1.985,1.985,1.74%
5/7/2020,1.951,1.951,1.40%
5/6/2020,1.924,1.924,0.16%
4/30/2020,1.921,1.921,-0.21%
4/29/2020,1.925,1.925,2.45%
4/28/2020,1.879,1.879,-0.79%
4/27/2020,1.894,1.894,1.39%
4/24/2020,1.868,1.868,0.05%
4/23/2020,1.867,1.867,-0.64%
4/22/2020,1.879,1.879,2.45%
4/21/2020,1.834,1.834,-2.19%
4/20/2020,1.875,1.875,-0.21%
4/17/2020,1.879,1.879,0.59%
4/16/2020,1.868,1.868,2.02%
4/15/2020,1.831,1.831,-0.54%
4/14/2020,1.841,1.841,2.79%
4/13/2020,1.791,1.791,0.45%
4/10/2020,1.783,1.783,-0.34%
4/9/2020,1.789,1.789,0.45%
4/8/2020,1.781,1.781,-0.22%
4/7/2020,1.785,1.785,4.45%
4/3/2020,1.709,1.709,-1.10%
4/2/2020,1.728,1.728,1.11%
4/1/2020,1.709,1.709,-2.40%
3/31/2020,1.751,1.751,0.98%
3/30/2020,1.734,1.734,1.52%
3/27/2020,1.708,1.708,-3.06%
3/26/2020,1.762,1.762,2.32%
3/25/2020,1.722,1.722,0.82%
3/24/2020,1.708,1.708,6.15%
3/23/2020,1.609,1.609,-1.17%
3/20/2020,1.628,1.628,0.74%
3/19/2020,1.616,1.616,0.94%
3/18/2020,1.601,1.601,-3.84%
3/17/2020,1.665,1.665,3.93%
3/16/2020,1.602,1.602,-8.51%
